FL_Test | INFO flwr 2024-03-16 00:50:34,833 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 00:50:34,838 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 00:50:34,838 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 00:50:34,838 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:23:08,451 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:23:08,469 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:23:08,469 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:23:08,469 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:23:53,374 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:23:53,391 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:23:53,391 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:23:53,391 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:24:41,188 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:24:41,193 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:24:41,193 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:24:41,193 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:25:23,019 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:25:23,023 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:25:23,023 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:25:23,023 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:25:48,124 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL_Test | INFO flwr 2024-03-16 01:25:48,144 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL_Test | INFO flwr 2024-03-16 01:25:48,144 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-03-16 01:25:48,144 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-03-16 01:28:10,413 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
